"co_ocupacao","ds_ocupacao","co_cbo","tp_escolaridade","st_restricao_idade"
1217,"LIMPADOR DE VIDROS","514220","3","16"
1219,"AGENTE COMUNITARIO DE SAUDE","515105","3","18"
1220,"ATENDENTE DE ENFERMAGEM","515110","3","18"
1221,"PARTEIRA LEIGA","515115","3","18"
1222,"VISITADOR SANITARIO","515120","3","18"
1223,"AUXILIAR DE BANCO DE SANGUE","515205","4","16"
1224,"AUXILIAR DE FARMACIA DE MANIPULACAO","515210","4","18"
1225,"AUXILIAR DE LABORATORIO DE ANALISES CLINICAS","515215","4","18"
1226,"AUXILIAR DE LABORATORIO DE IMUNOBIOLOGICOS","515220","4","18"
1227,"AUXILIAR DE PRODUCAO FARMACEUTICA","515225","4","18"
1228,"BARBEIRO","516105","2","14"
1229,"CABELEIREIRO","516110","2","14"
1230,"ESTETICISTA","516115","2","14"
1231,"MANICURE","516120","2","14"
1232,"MAQUIADOR","516125","2","14"
1233,"MAQUIADOR DE CARACTERIZACAO","516130","2","14"
1234,"MASSAGISTA","516135","2","14"
1235,"PEDICURE","516140","2","14"
1236,"BABA","516205","2","14"
